location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
multiple,NA,own vehicle,mix of private and public,other,comrie,150,150,3,excellent,excellent,good,NA,average,good,no,no,NA,scotland,west lothian
gauldry,660,own vehicle,own vehicle,other,comrie,other,75,7,good,excellent,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA
stanley,1410,own vehicle,own vehicle,other,self catering,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,yes,yes,good,scotland,edinburgh
comrie,NA,own vehicle,own vehicle,other,at home,450,250,1,good,good,not interested in social programme,average,good,good,some days,no,NA,other uk,NA
gleneagles,NA,own vehicle,own vehicle,other,self catering,2000,100,14,excellent,good,very poor,good,excellent,good,no,no,NA,other uk,NA
dull,NA,rail,event bus,7,camping/caravan,250,150,1,excellent,excellent,average,NA,good,excellent,some days,yes,good,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,450,250,1,excellent,excellent,excellent,good,good,good,yes,yes,good,other uk,NA
killin,770,own vehicle,own vehicle,other,at home,other,75,7,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other europe,NA
comrie,NA,air,hired vehicle,other,self catering,1,1,5,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,event bus,4,camping/caravan,200,90,20,excellent,poor,average,NA,excellent,excellent,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,self catering,1700,300,10,excellent,good,not interested in social programme,NA,average,good,yes,no,NA,other uk,NA
killin,770,hired vehicle,event bus,3,comrie,100,40,3,excellent,good,average,good,good,excellent,yes,yes,good,scotland,glasgow
broughty ferry,NA,own vehicle,own vehicle,other,camping/caravan,126,50,2017,excellent,good,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,at home,200,90,20,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,other uk,NA
multiple,NA,air,hired vehicle,other,self catering,300,100,6,good,good,good,average,good,good,some days,yes,good,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,750,200,other,good,good,not interested in social programme,NA,good,average,some days,yes,excellent,scotland,east lothian
lochearnhead,NA,own vehicle,own vehicle,other,self catering,750,200,other,good,excellent,not interested in social programme,good,good,excellent,no,no,NA,other uk,NA
fortingall,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other europe,NA
balerno,NA,own vehicle,own vehicle,other,self catering,842,140,4,good,average,excellent,excellent,excellent,excellent,some days,yes,average,scotland,edinburgh
comrie,NA,own vehicle,shared private vehicle,other,self catering,2200,150,2,good,good,excellent,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
auchterarder,5120,own vehicle,event bus,3,comrie,other,75,7,excellent,good,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,event bus,6,camping/caravan,220,120,16,excellent,excellent,average,NA,good,average,no,no,NA,other uk,NA
logierait,NA,own vehicle,event bus,4,comrie,other,75,7,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,excellent,average,good,no,no,NA,scotland,scottish borders
crieff,7430,own vehicle,event bus,4,comrie,70,6,other,excellent,excellent,excellent,average,excellent,excellent,yes,yes,excellent,rest of the world,NA
fowlis wester,NA,own vehicle,own vehicle,other,comrie,450,250,1,good,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,700,other,10,good,average,not interested in social programme,good,average,average,some days,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,hotel,150,150,3,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,scotland,stirling
comrie,NA,hired vehicle,hired vehicle,other,hotel,800,50,4,poor,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,scotland,edinburgh
lochearnhead,NA,own vehicle,own vehicle,other,at home,70,6,other,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,hired vehicle,hired vehicle,other,self catering,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,rest of the world,NA
crieff,7430,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,excellent,NA,excellent,good,yes,yes,good,other uk,NA
multiple,NA,own vehicle,cycle,other,comrie,760,120,6,excellent,excellent,excellent,NA,excellent,good,some days,no,NA,other uk,NA
balquhidder,NA,hired vehicle,event bus,4,comrie,140,150,4,good,average,average,NA,average,average,no,yes,average,other uk,NA
stirling,37610,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,hired vehicle,hired vehicle,other,hotel,70,6,other,good,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,at home,220,120,16,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,350,60,5,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,hired vehicle,own vehicle,other,self catering,900,100,5,excellent,excellent,average,good,excellent,excellent,yes,yes,excellent,other uk,NA
dollar,2800,air,hired vehicle,other,guest house/b+b,176,100,12,excellent,excellent,excellent,average,good,good,some days,yes,good,other europe,NA
perth,47430,own vehicle,own vehicle,other,self catering,500,30,4,good,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA
methven,1300,own vehicle,shared private vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,380,110,10,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,1600,200,8,good,good,very poor,good,good,good,yes,no,NA,scotland,midlothian
forgandenny,600,own vehicle,own vehicle,other,self catering,1500,1000,11,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,good,average,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,good,not interested in social programme,NA,good,excellent,yes,yes,excellent,other uk,NA
dunning,970,own vehicle,own vehicle,other,self catering,850,40,4,excellent,good,not interested in social programme,NA,good,average,yes,no,NA,scotland,east ayrshire
crieff,7430,own vehicle,own vehicle,other,comrie,200,90,20,excellent,excellent,not interested in social programme,average,good,good,some days,yes,good,scotland,west lothian
comrie,NA,own vehicle,own vehicle,other,self catering,900,100,5,average,good,not interested in social programme,good,good,excellent,yes,no,NA,scotland,glasgow
comrie,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,good,other uk,NA
comrie,NA,rail,shared private vehicle,2,comrie,350,60,5,average,good,good,NA,excellent,good,some days,yes,good,other uk,NA
multiple,NA,own vehicle,event bus,6,comrie,500,30,4,excellent,excellent,not interested in social programme,NA,excellent,good,yes,yes,good,other europe,NA
callander,3160,own vehicle,own vehicle,3,comrie,900,100,5,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,fife
loch tay,NA,own vehicle,own vehicle,other,self catering,2000,100,14,good,good,not interested in social programme,average,average,average,some days,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,camping/caravan,other,75,7,average,average,good,NA,average,good,no,yes,average,scotland,perth and kinross
braco,550,own vehicle,own vehicle,other,at home,70,6,other,excellent,excellent,good,poor,good,good,yes,no,NA,other uk,NA
multiple,NA,rail,cycle,other,comrie,700,other,10,average,good,excellent,good,good,good,no,no,NA,scotland,dumfries and galloway
comrie,NA,own vehicle,own vehicle,other,camping/caravan,155,150,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1500,1000,11,good,average,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA
luncarty,1650,hired vehicle,hired vehicle,other,self catering,1100,200,other,average,average,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other europe,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1400,100,8,excellent,excellent,not interested in social programme,excellent,good,good,no,no,NA,other europe,NA
dunkeld,NA,hired vehicle,hired vehicle,other,self catering,600,200,22,good,good,good,NA,good,good,yes,no,NA,scotland,stirling
doune,2150,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,average,yes,yes,good,other uk,NA
crieff,7430,own vehicle,own vehicle,other,comrie,560,60,14,good,good,good,good,good,good,some days,no,NA,scotland,east lothian
