location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
crieff,7430,own vehicle,shared private vehicle,other,hotel,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA
lochearnhead,NA,air,shared private vehicle,other,hotel,75,50,14,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,falkirk
aberfeldy,1950,own vehicle,own vehicle,other,camping/caravan,other,75,7,good,good,not interested in social programme,NA,average,good,no,no,NA,other europe,NA
multiple,NA,own vehicle,own vehicle,other,comrie,200,90,20,excellent,excellent,excellent,good,good,excellent,yes,no,NA,scotland,highland
comrie,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
killin,770,hired vehicle,hired vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA
perth,47430,hired vehicle,mix of private and public,1,comrie,250,150,1,good,good,good,NA,excellent,excellent,no,no,NA,other uk,NA
stirling,37610,own vehicle,own vehicle,other,camping/caravan,120,140,6,excellent,good,not interested in social programme,NA,good,average,some days,no,NA,scotland,falkirk
comrie,NA,own vehicle,own vehicle,other,comrie,100,40,3,good,good,good,NA,good,excellent,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,350,60,5,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other europe,NA
edinburgh,488050,own vehicle,own vehicle,other,friends/relatives,650,150,14,excellent,excellent,excellent,NA,good,average,no,no,NA,scotland,stirling
comrie,NA,hired vehicle,hired vehicle,other,self catering,300,100,6,good,good,good,average,average,average,no,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,1200,100,7,excellent,excellent,excellent,good,excellent,average,no,no,NA,other uk,NA
auchterarder,5120,hired vehicle,hired vehicle,other,self catering,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA
comrie,NA,public and private,own vehicle,other,camping/caravan,300,100,6,excellent,excellent,not interested in social programme,NA,good,average,no,no,NA,other uk,NA
other,NA,own vehicle,own vehicle,other,hostel,1300,60,15,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,scotland,midlothian
dunkeld,NA,own vehicle,own vehicle,other,camping/caravan,120,140,6,good,good,good,very poor,average,good,no,no,NA,scotland,edinburgh
perth,47430,own vehicle,own vehicle,other,self catering,700,other,10,good,excellent,not interested in social programme,good,good,good,some days,yes,good,other uk,NA
bridge of earn,2990,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,excellent,good,excellent,good,some days,yes,good,other uk,NA
little dunkeld,NA,own vehicle,own vehicle,other,self catering,1500,1000,11,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA
glenfarg,670,own vehicle,own vehicle,other,self catering,760,120,6,excellent,excellent,good,good,good,excellent,yes,yes,excellent,other europe,NA
comrie,NA,own vehicle,own vehicle,other,hostel,70,6,other,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,other europe,NA
brig o'turk,NA,own vehicle,own vehicle,1,comrie,140,150,4,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,comrie,200,90,20,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,friends/relatives,195,70,13,good,excellent,average,NA,excellent,good,no,yes,excellent,other uk,NA
killin,770,own vehicle,own vehicle,other,hotel,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,rest of the world,NA
amulree,NA,own vehicle,own vehicle,other,hotel,50,50,4,excellent,excellent,excellent,excellent,excellent,excellent,some days,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,hotel,400,50,2,excellent,excellent,excellent,excellent,excellent,excellent,some days,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,2200,150,2,good,good,not interested in social programme,good,average,average,no,no,NA,other uk,NA
crieff,7430,air,hired vehicle,other,self catering,other,75,7,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other uk,NA
dunkeld,NA,hired vehicle,hired vehicle,other,self catering,700,other,10,excellent,excellent,excellent,NA,good,excellent,yes,yes,average,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,some days,no,NA,other uk,NA
stirling,37610,hired vehicle,hired vehicle,other,self catering,272,60,1,excellent,good,excellent,NA,excellent,excellent,no,yes,excellent,other uk,NA
comrie,NA,own vehicle,event bus,3,comrie,800,50,4,good,poor,good,NA,average,average,yes,yes,average,other uk,NA
perth,47430,own vehicle,own vehicle,other,comrie,360,150,3,good,good,not interested in social programme,NA,good,excellent,some days,no,NA,other uk,NA
brig o'turk,NA,own vehicle,own vehicle,other,camping/caravan,200,90,20,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,aberdeenshire
comrie,NA,own vehicle,own vehicle,2,comrie,other,75,7,excellent,good,good,NA,excellent,excellent,some days,no,NA,scotland,edinburgh
callander,3160,own vehicle,event bus,6,comrie,70,6,other,excellent,excellent,excellent,NA,excellent,average,no,no,NA,other uk,NA
lawers,NA,air,hired vehicle,other,hotel,150,150,3,good,good,good,NA,average,good,some days,yes,good,scotland,scottish borders
comrie,NA,own vehicle,own vehicle,other,at home,140,150,4,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,at home,225,other,10,excellent,excellent,excellent,average,good,good,some days,no,NA,other uk,NA
st fillans,NA,air,hired vehicle,other,guest house/b+b,140,150,4,excellent,good,not interested in social programme,average,good,average,some days,yes,good,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,comrie,650,150,14,average,good,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
comrie,NA,own vehicle,own vehicle,other,guest house/b+b,70,6,other,good,excellent,good,NA,excellent,excellent,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,other uk,NA
gleneagles,NA,own vehicle,own vehicle,other,self catering,1700,300,10,excellent,excellent,excellent,NA,good,good,yes,yes,average,other uk,NA
muthill,750,own vehicle,event bus,5,comrie,450,250,1,excellent,excellent,good,excellent,good,good,no,no,NA,other uk,south norfolk
comrie,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
stirling,37610,hired vehicle,hired vehicle,other,guest house/b+b,other,75,7,excellent,excellent,good,average,excellent,excellent,yes,yes,excellent,other uk,NA
logierait,NA,own vehicle,shared private vehicle,other,self catering,1400,100,8,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,rest of the world,NA
multiple,NA,own vehicle,own vehicle,other,self catering,380,110,10,excellent,excellent,excellent,NA,excellent,average,no,no,NA,scotland,highland
comrie,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,good,average,good,some days,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,comrie,150,150,3,excellent,excellent,excellent,excellent,good,good,no,yes,good,rest of the world,NA
comrie,NA,own vehicle,own vehicle,other,comrie,470,100,10,good,good,good,NA,excellent,excellent,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,comrie,other,75,7,good,good,not interested in social programme,NA,average,average,no,no,NA,rest of the world,NA
multiple,NA,air,hired vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA
weem,NA,hired vehicle,hired vehicle,other,guest house/b+b,84,40,2,good,poor,good,average,good,good,some days,no,NA,other uk,NA
bankfoot,1220,own vehicle,own vehicle,other,comrie,160,80,4,excellent,excellent,excellent,average,good,good,no,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,friends/relatives,700,other,10,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,hotel,200,90,20,excellent,good,good,NA,good,good,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,1300,60,15,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,excellent,other uk,NA
other,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,824,90,other,excellent,excellent,not interested in social programme,good,excellent,average,some days,yes,good,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,1500,1000,11,excellent,excellent,not interested in social programme,NA,good,excellent,some days,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
methven,1300,own vehicle,event bus,4,comrie,other,75,7,excellent,excellent,good,average,excellent,excellent,some days,no,NA,rest of the world,NA
dunkeld,NA,own vehicle,cycle,other,comrie,200,90,20,excellent,excellent,not interested in social programme,poor,good,excellent,no,no,NA,scotland,midlothian
crieff,7430,air,hired vehicle,other,hotel,200,90,20,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,stirling
comrie,NA,own vehicle,own vehicle,other,comrie,60,60,6,excellent,excellent,good,good,excellent,excellent,yes,yes,excellent,other uk,NA
loch tay,NA,own vehicle,shared private vehicle,other,hotel,400,50,2,good,good,good,good,excellent,excellent,some days,yes,average,other europe,NA
gargunnock,740,own vehicle,own vehicle,other,self catering,1200,100,7,poor,good,not interested in social programme,good,excellent,good,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,self catering,200,90,20,excellent,good,good,NA,excellent,excellent,yes,no,NA,other uk,NA
edinburgh,488050,own vehicle,own vehicle,other,self catering,270,60,3,good,poor,good,poor,excellent,excellent,yes,no,NA,rest of the world,NA
perth,47430,own vehicle,own vehicle,other,self catering,600,200,22,average,excellent,good,good,good,good,no,no,NA,other uk,NA
crieff,7430,hired vehicle,hired vehicle,other,comrie,200,90,20,excellent,good,good,NA,excellent,excellent,some days,no,NA,rest of the world,NA
stirling,37610,air,hired vehicle,other,comrie,150,150,3,excellent,excellent,excellent,NA,good,good,yes,no,NA,scotland,perth and kinross
perth,47430,own vehicle,own vehicle,other,self catering,2200,150,2,excellent,excellent,excellent,excellent,good,good,no,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,at home,157.5,50,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other europe,sweden
dunkeld,NA,hired vehicle,hired vehicle,other,hotel,1000,1000,2,poor,excellent,good,good,good,excellent,yes,no,NA,other uk,NA
callander,3160,own vehicle,shared private vehicle,other,comrie,200,90,20,excellent,good,not interested in social programme,NA,excellent,good,yes,yes,average,scotland,scottish borders
other,NA,own vehicle,event bus,6,comrie,other,75,7,excellent,average,excellent,NA,excellent,average,yes,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,570,65,13,good,good,good,good,excellent,excellent,yes,no,NA,other uk,NA
stirling,37610,own vehicle,own vehicle,1,self catering,600,200,22,excellent,good,not interested in social programme,excellent,good,excellent,yes,no,NA,scotland,perth and kinross
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,some days,no,NA,scotland,fife
comrie,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,excellent,NA,excellent,good,some days,yes,good,scotland,edinburgh
perth,47430,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,good,average,some days,yes,good,other europe,NA
auchterarder,5120,own vehicle,shared private vehicle,other,friends/relatives,900,100,5,excellent,good,not interested in social programme,NA,good,excellent,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,at home,150,150,3,good,excellent,good,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,560,60,14,excellent,excellent,excellent,good,excellent,excellent,yes,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,hotel,315,100,6,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,no,NA,other uk,NA
ardeonaig,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,excellent,good,good,excellent,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,70,6,other,good,average,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,3000,720,13,excellent,good,not interested in social programme,NA,average,poor,no,no,NA,other europe,NA
killin,770,local,own vehicle,other,at home,other,75,7,excellent,good,not interested in social programme,good,good,good,yes,yes,good,scotland,highland
edinburgh,488050,own vehicle,own vehicle,other,self catering,800,50,4,excellent,excellent,excellent,good,excellent,excellent,some days,yes,excellent,rest of the world,NA
st fillans,NA,own vehicle,own vehicle,other,at home,155,150,3,excellent,excellent,excellent,good,good,good,some days,no,NA,other uk,NA
edinburgh,488050,own vehicle,own vehicle,other,self catering,700,other,10,excellent,good,excellent,NA,good,average,some days,yes,excellent,other uk,NA
dunkeld,NA,air,hired vehicle,other,self catering,350,60,5,good,good,not interested in social programme,average,good,good,no,no,NA,scotland,midlothian
ayton,600,own vehicle,own vehicle,other,comrie,120,140,6,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,other europe,NA
aberfeldy,1950,own vehicle,own vehicle,other,camping/caravan,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,good,some days,yes,good,other uk,NA
moneydie,NA,own vehicle,own vehicle,other,self catering,850,40,4,good,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,rest of the world,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,70,6,other,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other europe,NA
england,NA,own vehicle,own vehicle,other,multiple,120,140,6,excellent,good,not interested in social programme,good,good,average,no,no,NA,other uk,NA
kenmore,NA,own vehicle,own vehicle,1,comrie,other,75,7,good,excellent,not interested in social programme,average,excellent,good,no,no,NA,other uk,NA
perth,47430,hired vehicle,own vehicle,2,comrie,500,30,4,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,scotland,scottish borders
stanley,1410,hired vehicle,hired vehicle,other,guest house/b+b,650,150,14,excellent,excellent,not interested in social programme,NA,good,excellent,some days,yes,good,other europe,NA
balquhidder,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,poor,other uk,NA
strathearn,NA,own vehicle,own vehicle,other,guest house/b+b,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,scotland,east dunbartonshire
crieff,7430,local,shared private vehicle,other,at home,other,75,7,excellent,excellent,good,good,excellent,excellent,no,yes,excellent,other uk,NA
tulchan,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,guest house/b+b,320,100,other,excellent,excellent,good,good,excellent,excellent,some days,yes,excellent,scotland,perth and kinross
scone,5050,own vehicle,own vehicle,other,comrie,345,45,11,excellent,excellent,good,NA,average,average,some days,no,NA,other uk,NA
comrie,NA,rail,event bus,3,comrie,1020,69,26,good,good,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,good,good,NA,good,good,yes,no,NA,rest of the world,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,1500,1000,11,excellent,good,not interested in social programme,good,good,good,some days,yes,good,rest of the world,NA
