"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Chapelhall,S19001405," 6,690 "," 1,495 "," 4,356 ", 839 ,,,
Chapelton,S19001406, 640 , 89 , 375 , 176 ,,,
Chirnside,S19001407," 1,440 ", 310 , 829 , 301 ,,,
Chryston,S19001408," 3,000 ", 492 ," 1,830 ", 678 ,,,
Clackmannan,S19001409," 3,240 ", 538 ," 2,033 ", 669 ,,,
Clarkston,S19001410," 9,860 "," 2,266 "," 5,905 "," 1,689 ",,,
Cleland,S19001411," 3,130 ", 611 ," 2,026 ", 493 ,,,
Clydebank,S19001412," 26,320 "," 4,616 "," 16,914 "," 4,790 ",,,
Coalburn,S19001413," 1,220 ", 214 , 756 , 250 ,,,
Coalsnaughton,S19001414," 1,250 ", 212 , 810 , 228 ,,,
Coaltown of Balgonie,S19001415," 1,000 ", 142 , 646 , 212 ,,,
Coaltown of Wemyss,S19001416, 680 , 98 , 430 , 152 ,,,
Coatbridge,S19001417," 43,960 "," 8,188 "," 28,583 "," 7,189 ",,,
Cockenzie,S19001418," 5,470 ", 890 ," 3,532 "," 1,048 ",,,
Coldingham,S19001419, 530 , 70 , 305 , 155 ,,,
Coldstream,S19001420," 1,930 ", 240 ," 1,028 ", 662 ,,,
Comrie (Fife),S19001421, 790 , 83 , 547 , 160 ,,,
Comrie (Perth and Kinross),S19001422," 1,920 ", 262 , 949 , 709 ,,,
Conon Bridge,S19001423," 1,990 ", 404 ," 1,186 ", 400 ,,,
Coupar Angus,S19001424," 2,350 ", 358 ," 1,486 ", 506 ,,,
Cove Bay,S19001425," 7,740 "," 1,302 "," 5,431 "," 1,007 ",,,
Cowdenbeath and Lumphinnans,S19001426," 11,640 "," 2,088 "," 7,237 "," 2,315 ",,,
Cowie,S19001427," 2,700 ", 578 ," 1,747 ", 375 ,,,
Coylton,S19001428," 2,160 ", 379 ," 1,341 ", 440 ,,,
Crail,S19001429," 1,680 ", 190 , 942 , 548 ,,,
Creetown,S19001430, 640 , 85 , 369 , 186 ,,,
Crieff,S19001431," 7,430 "," 1,189 "," 4,271 "," 1,970 ",,,
Crimond,S19001432, 880 , 160 , 515 , 205 ,,,
Cromarty,S19001433, 700 , 108 , 427 , 165 ,,,
Crook of Devon,S19001434, 700 , 104 , 449 , 147 ,,,
Crossford (Fife),S19001435," 2,360 ", 352 ," 1,328 ", 680 ,,,
Crossford (South Lanarkshire),S19001436, 680 , 104 , 396 , 180 ,,,
Crossgates,S19001437," 2,610 ", 413 ," 1,628 ", 569 ,,,
Crosshill,S19001438, 500 , 64 , 331 , 105 ,,,
Crosshouse,S19001439," 2,720 ", 456 ," 1,723 ", 541 ,,,
Croy,S19001440," 1,570 ", 347 ," 1,043 ", 180 ,,,
Cruden Bay,S19001441," 1,640 ", 223 ," 1,018 ", 399 ,,,
Cullen,S19001442," 1,430 ", 201 , 812 , 417 ,,,
Culloden,S19001443," 4,000 ", 750 ," 2,623 ", 627 ,,,
Cumbernauld,S19001444," 50,920 "," 9,304 "," 32,746 "," 8,870 ",,,
Cuminestown,S19001445, 570 , 113 , 342 , 115 ,,,
Cumnock,S19001446," 8,830 "," 1,571 "," 5,470 "," 1,789 ",,,
Cupar,S19001447," 9,020 "," 1,478 "," 5,326 "," 2,216 ",,,
Dailly,S19001448, 820 , 113 , 516 , 191 ,,,
Dalbeattie,S19001449," 4,200 ", 631 ," 2,412 "," 1,157 ",,,
Dalgety Bay,S19001450," 10,050 "," 1,701 "," 6,093 "," 2,256 ",,,
Dalkeith,S19001451," 13,400 "," 2,488 "," 8,388 "," 2,524 ",,,
Dalmellington,S19001452," 1,350 ", 169 , 820 , 361 ,,,
Dalry,S19001453," 5,360 ", 904 ," 3,360 "," 1,096 ",,,
Dalrymple,S19001454," 1,620 ", 322 ," 1,049 ", 249 ,,,
Danderhall,S19001455," 2,810 ", 532 ," 1,775 ", 503 ,,,
Darnick,S19001456, 510 , 69 , 269 , 172 ,,,
Darvel,S19001457," 3,940 ", 708 ," 2,376 ", 856 ,,,
Dechmont,S19001458, 670 , 73 , 427 , 170 ,,,
Denholm,S19001459, 660 , 81 , 364 , 215 ,,,
Denny,S19001460," 8,300 "," 1,571 "," 5,215 "," 1,514 ",,,
Dennyloanhead,S19001461," 1,610 ", 323 ," 1,107 ", 180 ,,,
Dingwall,S19001462," 5,470 ", 942 ," 3,395 "," 1,133 ",,,
Dirleton,S19001463, 530 , 103 , 302 , 125 ,,,
Dollar,S19001464," 2,800 ", 539 ," 1,602 ", 659 ,,,
Dornoch,S19001465," 1,330 ", 192 , 687 , 451 ,,,
Douglas,S19001466," 1,490 ", 264 , 898 , 328 ,,,
Doune,S19001467," 2,150 ", 429 ," 1,305 ", 416 ,,,
Dreghorn,S19001468," 3,540 ", 564 ," 2,142 ", 834 ,,,
Drongan,S19001469," 3,180 ", 617 ," 1,980 ", 583 ,,,
Drumnadrochit,S19001470," 1,150 ", 207 , 698 , 245 ,,,
Drumoak,S19001471, 950 , 151 , 604 , 195 ,,,
Drymen,S19001472, 850 , 141 , 485 , 224 ,,,
Dufftown,S19001473," 1,610 ", 242 , 976 , 392 ,,,
Dullatur,S19001474, 700 , 145 , 495 , 60 ,,,
Dumbarton,S19001475," 20,560 "," 3,533 "," 13,410 "," 3,617 ",,,
Dumfries,S19001476," 33,440 "," 5,664 "," 20,885 "," 6,891 ",,,
Dunbar,S19001477," 9,030 "," 1,871 "," 5,424 "," 1,735 ",,,
Dunbeg,S19001478, 610 , 99 , 394 , 117 ,,,
Dunblane,S19001479," 9,410 "," 1,940 "," 5,550 "," 1,920 ",,,
Dundee,S19001480," 148,280 "," 23,889 "," 98,519 "," 25,872 ",,,
Dundonald,S19001481," 2,670 ", 473 ," 1,534 ", 663 ,,,
Dunfermline,S19001482," 53,100 "," 10,552 "," 34,127 "," 8,421 ",,,
Dunipace,S19001483," 2,560 ", 431 ," 1,608 ", 521 ,,,
Dunkeld and Birnam,S19001484," 1,330 ", 176 , 807 , 347 ,,,
Dunlop,S19001485," 1,150 ", 223 , 668 , 259 ,,,
Dunning,S19001486, 970 , 160 , 579 , 231 ,,,
Dunoon,S19001487," 7,830 "," 1,246 "," 4,488 "," 2,096 ",,,
Duns,S19001488," 2,750 ", 463 ," 1,594 ", 693 ,,,
Duntocher and Hardgate,S19001489," 6,880 "," 1,116 "," 4,221 "," 1,543 ",,,
Dyce,S19001490," 6,190 ", 911 ," 3,731 "," 1,548 ",,,
Eaglesfield,S19001491, 660 , 93 , 395 , 172 ,,,
Eaglesham,S19001492," 3,400 ", 706 ," 1,996 ", 698 ,,,
Earlston,S19001493," 1,750 ", 330 ," 1,001 ", 419 ,,,
East Calder,S19001494," 5,260 ", 900 ," 3,491 ", 869 ,,,
East Kilbride,S19001495," 75,120 "," 12,709 "," 48,683 "," 13,728 ",,,
East Linton,S19001496," 1,810 ", 316 ," 1,046 ", 448 ,,,
East Wemyss,S19001497," 1,960 ", 294 ," 1,277 ", 389 ,,,
East Whitburn,S19001498," 1,300 ", 197 , 847 , 256 ,,,
Eastfield,S19001499, 970 , 184 , 597 , 189 ,,,
Eastriggs,S19001500," 1,810 ", 276 ," 1,129 ", 405 ,,,
Ecclefechan,S19001501, 880 , 128 , 529 , 223 ,,,
Edinburgh,S19001502," 488,050 "," 73,418 "," 341,784 "," 72,848 ",,,
Edzell,S19001503, 860 , 111 , 434 , 315 ,,,
Elderslie,S19001504," 5,330 ", 813 ," 3,326 "," 1,191 ",,,
Elgin,S19001505," 24,760 "," 4,747 "," 15,561 "," 4,452 ",,,
Elie and Earlsferry,S19001506, 700 , 69 , 319 , 312 ,,,
Ellon,S19001507," 10,200 "," 1,810 "," 6,391 "," 1,999 ",,,
Elphinstone,S19001508, 580 , 105 , 355 , 120 ,,,
Errol,S19001509," 1,500 ", 281 , 905 , 314 ,,,
Erskine,S19001510," 15,510 "," 2,707 "," 9,822 "," 2,981 ",,,
Evanton,S19001511," 1,360 ", 249 , 838 , 273 ,,,
Eyemouth,S19001512," 3,610 ", 705 ," 2,054 ", 851 ,,,
Faifley,S19001513," 4,860 "," 1,107 "," 3,197 ", 556 ,,,
Fairlie,S19001514," 1,400 ", 196 , 792 , 412 ,,,
Falkirk,S19001515," 35,850 "," 5,892 "," 22,900 "," 7,058 ",,,
Falkland,S19001516," 1,150 ", 155 , 721 , 274 ,,,
Fallin,S19001517," 2,880 ", 594 ," 1,899 ", 387 ,,,
Fauldhouse,S19001518," 4,780 ", 867 ," 3,032 ", 881 ,,,
Fenwick,S19001519," 1,200 ", 163 , 728 , 309 ,,,
Ferryden and Inchbraoch,S19001520," 1,220 ", 179 , 741 , 300 ,,,
Findhorn,S19001521, 930 , 147 , 539 , 244 ,,,
Findochty,S19001522," 1,160 ", 212 , 684 , 264 ,,,
Finstown,S19001523, 530 , 84 , 350 , 96 ,,,
Fochabers,S19001524," 1,720 ", 285 , 986 , 449 ,,,
Forfar,S19001525," 14,230 "," 2,429 "," 8,529 "," 3,272 ",,,
Forgandenny,S19001526, 600 , 180 , 381 , 39 ,,,
Forres,S19001527," 10,100 "," 1,553 "," 6,158 "," 2,389 ",,,
Fort Augustus,S19001528, 660 , 78 , 406 , 176 ,,,
Fort William,S19001529," 5,760 "," 1,119 "," 3,665 ", 976 ,,,
Forth,S19001530," 2,190 ", 375 ," 1,302 ", 513 ,,,
Fortrose,S19001531," 1,590 ", 241 , 874 , 475 ,,,
Fraserburgh,S19001532," 13,180 "," 2,381 "," 8,289 "," 2,510 ",,,
Freuchie,S19001533," 1,240 ", 197 , 735 , 308 ,,,
Friockheim,S19001534, 980 , 170 , 600 , 210 ,,,
Gairloch,S19001535, 620 , 92 , 351 , 177 ,,,
Galashiels,S19001536," 13,000 "," 2,071 "," 8,516 "," 2,413 ",,,
Galston,S19001537," 4,740 ", 780 ," 3,020 ", 940 ,,,
Gardenstown,S19001538, 590 , 66 , 352 , 172 ,,,
Garelochhead,S19001539," 3,700 ", 281 ," 3,170 ", 249 ,,,
Gargunnock,S19001540, 740 , 121 , 460 , 159 ,,,
Garmouth,S19001541, 590 , 84 , 349 , 157 ,,,
Gartcosh,S19001542," 2,200 ", 512 ," 1,456 ", 232 ,,,
Gartloch,S19001543, 530 , 123 , 380 , 27 ,,,
Gatehouse of Fleet,S19001544, 970 , 114 , 474 , 382 ,,,
Gauldry,S19001545, 660 , 109 , 369 , 182 ,,,
Giffnock,S19001546," 12,300 "," 2,307 "," 6,970 "," 3,023 ",,,
Gifford,S19001547, 790 , 158 , 460 , 172 ,,,
Girvan,S19001548," 6,450 "," 1,065 "," 3,749 "," 1,636 ",,,
Glasgow,S19001549," 612,040 "," 97,914 "," 430,788 "," 83,338 ",,,
Glassford,S19001550, 640 , 113 , 422 , 105 ,,,
Glenboig,S19001551," 2,820 ", 612 ," 1,827 ", 381 ,,,
Glenfarg,S19001552, 670 , 116 , 437 , 117 ,,,
Glenluce,S19001553, 590 , 93 , 322 , 175 ,,,
Glenmavis,S19001554," 2,240 ", 397 ," 1,480 ", 363 ,,,
Glenochil Village,S19001555, 790 , 44 , 700 , 46 ,,,
Glenrothes,S19001556," 38,510 "," 7,245 "," 23,870 "," 7,395 ",,,
Golspie,S19001557," 1,350 ", 214 , 782 , 354 ,,,
Gorebridge,S19001558," 7,160 "," 1,538 "," 4,545 "," 1,077 ",,,
Gourdon,S19001559, 860 , 197 , 560 , 103 ,,,
Gourock,S19001560," 10,350 "," 1,349 "," 6,449 "," 2,552 ",,,
Gowkthrapple,S19001561," 1,330 ", 252 , 951 , 127 ,,,
Grangemouth,S19001562," 16,650 "," 2,646 "," 10,578 "," 3,426 ",,,
Grantown-on-Spey,S19001563," 2,470 ", 431 ," 1,436 ", 603 ,,,
Greengairs,S19001564, 510 , 119 , 344 , 47 ,,,
Greenhill,S19001565," 2,310 ", 501 ," 1,508 ", 301 ,,,
Greenlaw,S19001566, 630 , 94 , 390 , 146 ,,,
Greenock,S19001567," 42,680 "," 6,992 "," 27,335 "," 8,353 ",,,
Gretna,S19001568," 3,040 ", 478 ," 1,757 ", 805 ,,,
Guardbridge,S19001569, 750 , 124 , 510 , 116 ,,,
Gullane,S19001570," 2,650 ", 442 ," 1,436 ", 772 ,,,
Haddington,S19001571," 9,130 "," 1,677 "," 5,546 "," 1,907 ",,,
Haggs and Longcroft,S19001572, 950 , 158 , 612 , 180 ,,,
Halkirk,S19001573, 970 , 140 , 566 , 264 ,,,
Hallglen,S19001574," 3,180 ", 654 ," 2,068 ", 458 ,,,
Hamilton,S19001575," 54,080 "," 9,691 "," 34,985 "," 9,404 ",,,
Harthill,S19001576," 2,620 ", 480 ," 1,625 ", 515 ,,,
Hatton of Cruden,S19001577, 900 , 151 , 597 , 152 ,,,
Hawick,S19001578," 13,740 "," 2,296 "," 8,177 "," 3,267 ",,,
Head of Muir,S19001579," 1,700 ", 282 ," 1,104 ", 314 ,,,
Helensburgh,S19001580," 13,640 "," 2,435 "," 7,994 "," 3,211 ",,,
High Bonnybridge,S19001581, 580 , 80 , 380 , 120 ,,,
"High Valleyfield, Low Valleyfield and Culross",S19001582," 2,300 ", 424 ," 1,415 ", 461 ,,,
Hillhead,S19001583, 600 , 110 , 398 , 92 ,,,
Hillside,S19001584," 1,210 ", 252 , 702 , 256 ,,,
Holytown,S19001585," 5,160 ", 921 ," 3,474 ", 765 ,,,
Hopeman,S19001586," 1,700 ", 304 ," 1,046 ", 350 ,,,
Houston,S19001587," 6,430 "," 1,197 "," 4,077 "," 1,156 ",,,
Howwood,S19001588," 1,550 ", 268 ," 1,012 ", 270 ,,,
Huntly,S19001589," 4,810 ", 787 ," 2,791 "," 1,232 ",,,
Hurlford and Crookedholm,S19001590," 4,620 ", 770 ," 2,888 ", 962 ,,,
Inchinnan,S19001591," 1,860 ", 288 ," 1,150 ", 422 ,,,
Inchture,S19001592," 1,460 ", 360 , 883 , 217 ,,,
Innellan,S19001593," 1,210 ", 132 , 638 , 440 ,,,
Innerleithen,S19001594," 3,110 ", 525 ," 1,793 ", 792 ,,,
Insch,S19001595," 2,690 ", 509 ," 1,628 ", 553 ,,,
Inverallochy and Cairnbulg,S19001596," 1,350 ", 241 , 840 , 269 ,,,
Inveraray,S19001597, 560 , 83 , 344 , 133 ,,,
Inverbervie,S19001598," 2,410 ", 482 ," 1,506 ", 422 ,,,
Invergordon,S19001599," 3,980 ", 750 ," 2,406 ", 824 ,,,
Invergowrie,S19001600," 1,810 ", 263 ," 1,081 ", 466 ,,,
Inverkeithing,S19001601," 4,890 ", 778 ," 3,191 ", 921 ,,,
Inverkip,S19001602," 3,490 ", 658 ," 2,351 ", 481 ,,,
Inverness,S19001603," 47,290 "," 8,367 "," 30,470 "," 8,453 ",,,
Inverurie,S19001604," 13,640 "," 2,386 "," 8,742 "," 2,512 ",,,
Irvine,S19001605," 34,090 "," 6,237 "," 21,677 "," 6,176 ",,,
Jedburgh,S19001606," 3,910 ", 622 ," 2,327 ", 961 ,,,
Johnshaven,S19001607, 650 , 122 , 407 , 121 ,,,
Johnstone,S19001608," 16,090 "," 2,947 "," 10,102 "," 3,041 ",,,
Keith,S19001609," 4,690 ", 755 ," 2,770 "," 1,165 ",,,
Kelso,S19001610," 6,910 "," 1,052 "," 3,924 "," 1,934 ",,,
